date,TAVG_origQcFlag,TAVG_origValue,TAVG_qaFlag,TAVG_qcFlag,TAVG_value,WTEQ_average,WTEQ_origQcFlag,WTEQ_origValue,WTEQ_qaFlag,WTEQ_qcFlag,WTEQ_value,CFS,unit_of_measure,status
1990-03-03,V,24.8,,V,24.8,17.2,V,17.5,,V,17.5,282,ft^3/s,Approved
1990-03-04,V,21.9,,V,21.9,17.4,V,17.5,,V,17.5,298,ft^3/s,Approved
1990-03-05,V,20.5,,V,20.5,17.5,V,18.3,,V,18.3,296,ft^3/s,Approved
1990-03-06,V,19.4,,V,19.4,17.6,V,18.3,,V,18.3,288,ft^3/s,Approved
1990-03-07,V,22.5,,V,22.5,17.7,V,18.4,,V,18.4,283,ft^3/s,Approved
1990-03-08,V,24.4,,V,24.4,17.9,V,18.7,,V,18.7,285,ft^3/s,Approved
1990-03-09,V,18.5,,V,18.5,17.9,V,18.8,,V,18.8,296,ft^3/s,Approved
1990-03-10,V,30.9,,V,30.9,18.1,V,18.8,,V,18.8,309,ft^3/s,Approved
1990-03-11,V,23.7,,V,23.7,18.2,V,19.0,,V,19.0,323,ft^3/s,Approved
1990-03-12,V,12.0,,V,12.0,18.3,V,19.0,,V,19.0,309,ft^3/s,Approved
1990-03-13,V,11.5,,V,11.5,18.3,V,19.8,,V,19.8,287,ft^3/s,Approved
1990-03-14,V,15.3,,V,15.3,18.5,V,20.2,,V,20.2,287,ft^3/s,Approved
1990-03-15,V,15.3,,V,15.3,18.6,V,20.5,,V,20.5,293,ft^3/s,Approved
1990-03-16,V,19.2,,V,19.2,18.7,V,20.6,,V,20.6,282,ft^3/s,Approved
1990-03-17,V,24.3,,V,24.3,19.1,V,21.2,,V,21.2,292,ft^3/s,Approved
1990-03-18,V,24.4,,V,24.4,19.2,V,21.3,,V,21.3,300,ft^3/s,Approved
1990-03-19,V,27.7,,V,27.7,19.3,V,21.3,,V,21.3,305,ft^3/s,Approved
1990-03-20,V,29.7,,V,29.7,19.5,V,21.3,,V,21.3,326,ft^3/s,Approved
1990-03-21,V,23.2,,V,23.2,19.5,V,21.5,,V,21.5,334,ft^3/s,Approved
1990-03-22,V,11.7,,V,11.7,19.7,V,21.5,,V,21.5,315,ft^3/s,Approved
1990-03-23,V,-3.8,,V,-3.8,19.8,V,21.5,,V,21.5,280,ft^3/s,Approved
1990-03-24,V,8.2,,V,8.2,20.0,V,21.6,,V,21.6,269,ft^3/s,Approved
1990-03-25,V,10.4,,V,10.4,20.1,V,21.7,,V,21.7,294,ft^3/s,Approved
1990-03-26,V,19.6,,V,19.6,20.3,V,21.7,,V,21.7,294,ft^3/s,Approved
1990-03-27,V,21.9,,V,21.9,20.5,V,21.8,,V,21.8,317,ft^3/s,Approved
1990-03-28,V,20.8,,V,20.8,20.8,V,21.8,,V,21.8,305,ft^3/s,Approved
1990-03-29,V,19.2,,V,19.2,21.0,V,21.8,,V,21.8,300,ft^3/s,Approved
1990-03-30,V,24.8,,V,24.8,21.2,V,21.8,,V,21.8,312,ft^3/s,Approved
1990-03-31,V,31.1,,V,31.1,21.4,V,21.8,,V,21.8,333,ft^3/s,Approved
1990-04-01,V,34.2,,V,34.2,21.5,V,21.7,,V,21.7,369,ft^3/s,Approved
1990-04-02,V,35.6,,V,35.6,21.7,V,21.6,,V,21.6,422,ft^3/s,Approved
1990-04-03,V,35.6,,V,35.6,21.8,V,21.5,,V,21.5,495,ft^3/s,Approved
1990-04-04,V,29.3,,V,29.3,22.0,V,21.4,,V,21.4,558,ft^3/s,Approved
1990-04-05,V,20.8,,V,20.8,22.2,E,21.4,,E,21.4,575,ft^3/s,Approved
1990-04-06,V,25.7,,V,25.7,22.4,V,21.4,,V,21.4,507,ft^3/s,Approved
1990-04-07,V,31.8,,V,31.8,22.6,V,21.4,,V,21.4,529,ft^3/s,Approved
1990-04-08,V,30.9,,V,30.9,22.8,V,21.6,,V,21.6,549,ft^3/s,Approved
1990-04-09,V,28.2,,V,28.2,23.0,E,21.6,,E,21.6,563,ft^3/s,Approved
1990-04-10,E,29.3,,E,29.3,23.1,E,21.6,,E,21.6,556,ft^3/s,Approved
1990-04-11,E,33.4,,E,33.4,23.3,E,21.6,,E,21.6,532,ft^3/s,Approved
1990-04-12,V,27.1,,V,27.1,23.5,V,22.2,,V,22.2,562,ft^3/s,Approved
1990-04-13,V,27.9,,V,27.9,23.6,V,22.6,,V,22.6,536,ft^3/s,Approved
1990-04-14,E,29.1,,E,29.1,23.9,E,23.9,,E,23.9,636,ft^3/s,Approved
1990-04-15,V,36.3,,V,36.3,24.2,V,23.5,,V,23.5,786,ft^3/s,Approved
1990-04-16,V,28.9,,V,28.9,24.2,V,23.5,,V,23.5,887,ft^3/s,Approved
1990-04-17,V,36.7,,V,36.7,24.4,V,23.3,,V,23.3,871,ft^3/s,Approved
1990-04-18,V,37.0,,V,37.0,24.7,V,23.1,,V,23.1,997,ft^3/s,Approved
1990-04-19,V,38.7,,V,38.7,24.8,V,22.7,,V,22.7,1140,ft^3/s,Approved
1990-04-20,V,37.4,,V,37.4,24.9,V,22.4,,V,22.4,1340,ft^3/s,Approved
1990-04-21,V,39.7,,V,39.7,25.0,V,22.0,,V,22.0,1540,ft^3/s,Approved
1990-04-22,V,37.4,,V,37.4,25.1,V,21.8,,V,21.8,1630,ft^3/s,Approved
1990-04-23,V,34.7,,V,34.7,25.2,V,21.8,,V,21.8,1680,ft^3/s,Approved
1990-04-24,V,29.5,,V,29.5,25.3,V,21.9,,V,21.9,1620,ft^3/s,Approved
1990-04-25,V,30.4,,V,30.4,25.5,V,22.4,,V,22.4,1420,ft^3/s,Approved
1990-04-26,V,21.9,,V,21.9,25.6,V,23.0,,V,23.0,1360,ft^3/s,Approved
1990-04-27,V,23.5,,V,23.5,25.8,V,23.4,,V,23.4,1200,ft^3/s,Approved
1990-04-28,V,18.3,,V,18.3,25.9,V,24.5,,V,24.5,1160,ft^3/s,Approved
1990-04-29,V,12.7,,V,12.7,26.0,V,24.9,,V,24.9,1000,ft^3/s,Approved
