date,agency_cd,site_no,CFS,status
1990-01-14,USGS,06043500,287,A
1990-01-15,USGS,06043500,290,A
1990-01-16,USGS,06043500,292,A
1990-01-17,USGS,06043500,278,A
1990-01-18,USGS,06043500,220,A
1990-01-19,USGS,06043500,219,A
1990-01-20,USGS,06043500,240,A
1990-01-21,USGS,06043500,256,A
1990-01-22,USGS,06043500,272,A
1990-01-23,USGS,06043500,276,A
1990-01-24,USGS,06043500,271,A
1990-01-25,USGS,06043500,273,A
1990-01-26,USGS,06043500,274,A
1990-01-27,USGS,06043500,256,A
1990-01-28,USGS,06043500,265,A
1990-01-29,USGS,06043500,270,A
1990-01-30,USGS,06043500,250,A:e
1990-01-31,USGS,06043500,220,A:e
1990-02-01,USGS,06043500,210,A:e
1990-02-02,USGS,06043500,240,A:e
1990-02-03,USGS,06043500,264,A
1990-02-04,USGS,06043500,268,A
1990-02-05,USGS,06043500,259,A
1990-02-06,USGS,06043500,264,A
1990-02-07,USGS,06043500,269,A
1990-02-08,USGS,06043500,265,A
1990-02-09,USGS,06043500,252,A
1990-02-10,USGS,06043500,259,A
1990-02-11,USGS,06043500,267,A
1990-02-12,USGS,06043500,274,A
1990-02-13,USGS,06043500,230,A:e
1990-02-14,USGS,06043500,210,A:e
1990-02-15,USGS,06043500,200,A:e
1990-02-16,USGS,06043500,220,A:e
1990-02-17,USGS,06043500,240,A:e
1990-02-18,USGS,06043500,250,A:e
1990-02-19,USGS,06043500,261,A
1990-02-20,USGS,06043500,265,A
1990-02-21,USGS,06043500,270,A
1990-02-22,USGS,06043500,268,A
1990-02-23,USGS,06043500,268,A
1990-02-24,USGS,06043500,268,A
1990-02-25,USGS,06043500,273,A
1990-02-26,USGS,06043500,275,A
1990-02-27,USGS,06043500,274,A
1990-02-28,USGS,06043500,266,A
1990-03-01,USGS,06043500,255,A
1990-03-02,USGS,06043500,264,A
1990-03-03,USGS,06043500,282,A
1990-03-04,USGS,06043500,298,A
1990-03-05,USGS,06043500,296,A
1990-03-06,USGS,06043500,288,A
1990-03-07,USGS,06043500,283,A
1990-03-08,USGS,06043500,285,A
1990-03-09,USGS,06043500,296,A
1990-03-10,USGS,06043500,309,A
1990-03-11,USGS,06043500,323,A
1990-03-12,USGS,06043500,309,A
1990-03-13,USGS,06043500,287,A
1990-03-14,USGS,06043500,287,A
1990-03-15,USGS,06043500,293,A
1990-03-16,USGS,06043500,282,A
1990-03-17,USGS,06043500,292,A
1990-03-18,USGS,06043500,300,A
1990-03-19,USGS,06043500,305,A
1990-03-20,USGS,06043500,326,A
1990-03-21,USGS,06043500,334,A
1990-03-22,USGS,06043500,315,A
1990-03-23,USGS,06043500,280,A
1990-03-24,USGS,06043500,269,A
1990-03-25,USGS,06043500,294,A
1990-03-26,USGS,06043500,294,A
1990-03-27,USGS,06043500,317,A
1990-03-28,USGS,06043500,305,A
1990-03-29,USGS,06043500,300,A
1990-03-30,USGS,06043500,312,A
1990-03-31,USGS,06043500,333,A
1990-04-01,USGS,06043500,369,A
1990-04-02,USGS,06043500,422,A
1990-04-03,USGS,06043500,495,A
1990-04-04,USGS,06043500,558,A
1990-04-05,USGS,06043500,575,A
1990-04-06,USGS,06043500,507,A
